no,text,sentiment,positive,neutral,negative,compound
1,PBB ungkap bahwa toko roti di Gaza Utara terancam tutup akibat kelangkaan bahan pokok,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
2,"Menteri Ketenagakerjaan akan adakan Job Fair tiap minggu untuk atasi 7,5 Juta pengangguran","{'neg': 0.0, 'neu': 0.839, 'pos': 0.161, 'compound': 0.3182}",0.161,0.839,0.0,0.3182
3,DPR tetapkan program pengampunan pajak jadi prioritas di perencanaan undang-undang,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
4,Prabowo harap India kirim profesor & dokter untuk ajar pendidikan kesehatan di Indonesia,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
5,Indonesia kalahkan Arab Saudi 2-0 di kualifikasi Piala Dunia 2026,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
6,Baleg DPR tolak usulan RUU larang perdagangan daging anjing dan kucing,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
7,Donald Trump akan kerahkan militer untuk deportasi massal imigran ilegal di AS,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
8,Menteri Sosial pastikan ibu hamil dapat Bansos sebesar Rp750 ribu per bulan melalui program PKH,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
9,Manajer Jake Paul respon balik tantangan duel tinju dari Ishowspeed dengan nilai 20 juta USD,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
10,Jorge Martin raih gelar perdananya sebagai juara dunia MotoGP 2024,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
